"","Player","Squad","Comp","Age","DOB","TmPos","Nation","player_num","player_foot","player_height_mtrs","player_market_value_euro","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast.x","G+A","G_minus_PK","PK","PKatt","CrdY.x","CrdR.x","xG_Expected.x","npxG_Expected.x","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Mins_Per_90.x","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int.x","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url","PlayerFBref","UrlTmarkt"
"88","Aleix García","Girona","La Liga",27,1997-06-28,"Central Midfield","ESP","14","right","1.73",2.5e+07,2024,37,36,3199,35.5,3,6,9,3,0,0,4,1,1.8,1.8,5.5,7.3,58,294,52,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21,35.5,3,39,12,30.8,1.1,0.34,0.08,0.25,26.4,8,0,0,0.05,1.2,1.2,2567,2935,87.5,47017,14261,1226,1293,94.8,945,1018,92.8,334,518,64.5,5.5,6,0.5,57,306,27,8,294,2935,2673,254,119,5,87,192,11,122,50,52,1,2567,8,24,129,3.63,82,40,1,1,4,1,21,0.59,16,5,0,0,0,0,49,28,17,26,6,28,54,51.9,26,45,17,28,36,85,53,3,3220,149,780,1809,651,18,3220,24,15,62.5,6,25,1923,9334,4604,58,44,3,26,15,2403,52,86,93.5,36,88,33,1,18,0,2.11,78,44,34,0.96,-1.08,65.7,50.7,15,0.42,0,29,36,1,192,28,0,0,0,208,17,23,42.5,"https://fbref.com/en/players/a10361d2/Aleix-Garcia","Aleix García","https://www.transfermarkt.com/aleix-garcia/profil/spieler/261504"
"89","Aleix Garrido","Barcelona","La Liga",20,2004-02-22,"Central Midfield","ESP","34","right","1.7",5e+05,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5757adc3/Aleix-Garrido","Aleix Garrido","https://www.transfermarkt.com/aleix-garrido/profil/spieler/709966"
"90","Alejandro Garnacho","Manchester Utd","Premier League",19,2004-07-01,"Left Winger","ARG","17","right","1.8",4.5e+07,2024,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,28.5,7,100,27,27,3.51,0.95,0.07,0.26,15.8,0,0,0,0.08,-1.4,-1.3,675,901,74.9,9269,1365,422,506,83.4,189,233,81.1,34,63,54,5.1,2.9,-1.1,46,26,22,4,62,901,885,13,3,2,4,58,6,4,2,0,0,675,3,50,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,940,8034,4211,178,83,102,69,49,1007,281,71,75,30,82,12,6,19,2,1.5,44,39,5,0.18,0.81,42,50.8,-8.8,-0.31,0,20,54,15,58,15,2,0,0,106,6,25,19.4,"https://fbref.com/en/players/7aa8adfe/Alejandro-Garnacho","Alejandro Garnacho","https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779"
"91","Álex Jiménez","Milan","Serie A",19,2005-05-08,"Right-Back","ESP","-","right","1.77",4e+06,2024,3,0,68,0.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,2,3,0,0,0,0,0,0,0.07,0.07,0,0.07,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,90.7,628,179,19,20,95,18,20,90,1,1,100,0.1,0.1,-0.1,1,2,0,0,2,43,35,8,0,0,0,1,8,0,0,0,0,39,0,1,2,2.65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,5,40,3,0,0,0,0,2,4,0,54,3,17,29,8,1,54,1,0,0,0,0,30,185,105,2,1,0,0,2,35,3,23,2,0,0,0,3,23,13,3,1,0,1,1.32,0.63,0.6,0.8,-0.2,-0.26,0,2,1,0,1,1,0,0,0,2,0,0,0,"https://fbref.com/en/players/faa13947/Alejandro-Jimenez","Alejandro Jimenez","https://www.transfermarkt.com/alex-jimenez/profil/spieler/741257"
"92","Alejo Veliz","Sevilla & Tottenham","La Liga & Premier League",20,2003-09-19,"Centre-Forward","ARG","36 & 10","right","1.86",9e+06,2024,14,0,85,1,1,0,1,1,0,0,1,0,0.4,0.4,0,0.4,0,1,4,1.8,0,1.8,1.8,1.8,1.03,0,1.03,1.03,1.03,1,1,4,3,150,8.74,6.94,0.5,1,19,0,0,0,0.23,0.6,0.6,9,16,116.7,140,7,4,8,100,3,3,200,1,1,100,0,0,0,0,0,0,0,1,16,12,4,0,0,0,0,0,0,0,0,0,9,0,0,2,4.41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,50,1,0,0,0,0,2,1,0,32,1,3,12,17,6,32,2,1,50,1,50,12,28,9,0,0,0,5,2,18,4,12,2.5,0,0,0,14,12,11,3.05,3,4,-1,-3.34,-3.56,2.5,2.4,0,-0.17,0,4,2,3,0,0,0,0,0,0,4,3,108.3,"https://fbref.com/en/players/3f7bafbe/Alejo-Veliz","Alejo Veliz","https://www.transfermarkt.com/alejo-veliz/profil/spieler/888493"
"93","Aleksandar Mitrović","Fulham","Premier League",29,1994-09-16,"Centre-Forward","SRB","-","right","1.89",2.8e+07,2024,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.44,0,0.44,0.44,0.44,0.4,0,2,1,50,5.45,2.73,0,0,11,0,0,0,0.08,-0.2,-0.2,4,8,50,78,24,1,3,33.3,2,4,50,1,1,100,0,0,0,0,1,1,0,1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5.45,1,0,1,0,0,0,1,2.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,6,6,4,12,3,3,100,0,0,5,29,15,0,0,0,0,0,8,0,33,1,0,0,0,1,33,0,3,1,0,1,2.73,2.91,1.2,0.6,0.7,1.79,0,0,0,0,0,0,0,0,0,1,2,1,66.7,"https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic","Aleksandar Mitrović","https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152"
"94","Aleksandar Pavlovic","Bayern Munich","Bundesliga",20,2004-05-03,"Defensive Midfield","GER","45","both","1.88",3e+07,2024,19,14,1227,13.6,2,2,4,2,0,0,6,0,1.2,1.2,1,2.2,14,105,14,0.15,0.15,0.29,0.15,0.29,0.09,0.07,0.16,0.09,0.16,13.6,2,8,2,25,0.59,0.15,0.25,1,16,0,0,0,0.15,0.8,0.8,897,971,92.4,15356,4023,430,452,95.1,370,388,95.4,80,98,81.6,1,1.8,1,11,95,12,1,105,971,935,31,15,0,6,18,2,14,3,9,0,897,5,4,40,2.93,31,6,1,0,1,1,6,0.44,3,1,0,0,1,1,28,16,10,14,4,17,33,51.5,16,13,3,10,17,45,12,0,1082,25,195,714,179,10,1082,11,5,45.5,5,45.5,701,3804,1714,14,21,3,12,14,823,14,65,40.1,14,79,7,5,25,6,2.42,35,17,18,1.32,-0.2,27.9,14.5,13.3,0.98,0,20,16,0,18,16,0,0,0,75,10,13,43.5,"https://fbref.com/en/players/2658c82f/Aleksandar-Pavlovic","Aleksandar Pavlovic","https://www.transfermarkt.com/aleksandar-pavlovic/profil/spieler/792380"
"95","Aleksandar Radovanovic","Almería","La Liga",30,1993-11-11,"Centre-Back","SRB","16","left","1.9",9e+05,2024,9,8,569,6.3,0,0,0,0,0,0,2,0,0,0,0,0.1,0,5,1,0,0,0,0,0,0.01,0,0.01,0.01,0.01,6.3,0,1,0,0,0.16,0,0,0,10.5,0,0,0,0.04,0,0,181,197,91.9,3645,1019,49,51,96.1,107,110,97.3,21,30,70,0,0,0,1,1,0,0,5,197,190,6,3,0,4,0,0,0,0,0,0,181,1,0,2,0.32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,7,7,1,0,6,6,100,0,8,8,0,11,19,48,0,279,68,177,100,3,2,279,1,0,0,1,100,110,401,142,0,0,0,2,0,152,1,63,16.6,8,70,4,1,9,3,1.22,10,10,0,0,1.01,7.4,9.3,-1.9,-0.29,0,7,2,0,0,7,0,0,0,13,14,9,60.9,"https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic","Aleksandar Radovanović","https://www.transfermarkt.com/aleksandar-radovanovic/profil/spieler/339501"
"96","Aleksandar Sedlar","Alavés","La Liga",32,1991-12-13,"Centre-Back","SRB","4","right","1.8",4e+05,2024,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.1,0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,10.5,1,4,1,25,0.38,0.1,0.25,1,10.7,0,0,0,0.07,0.7,0.7,343,405,84.7,6944,2813,115,129,89.1,178,201,88.6,46,67,68.7,0.1,0.1,-0.1,2,31,0,0,26,405,387,17,11,0,1,0,1,0,0,0,0,343,1,1,9,0.86,6,0,1,0,0,2,0,0,0,0,0,0,0,0,14,10,10,4,0,10,16,62.5,6,8,4,4,13,27,43,0,497,76,277,204,18,6,497,3,2,66.7,0,0,247,1442,794,6,4,0,3,2,264,1,86,27.7,11,86,8,0,0,1,1.09,10,14,-4,-0.38,-0.16,14.8,12,2.9,0.27,0,14,4,1,0,10,0,1,0,49,17,18,48.6,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar","Aleksandar Sedlar","https://www.transfermarkt.com/aleksandar-sedlar/profil/spieler/237499"
"97","Aleksandr Golovin","Monaco","Ligue 1",28,1996-05-30,"Attacking Midfield","RUS","17","right","1.78",3e+07,2024,25,25,2147,23.9,6,6,12,6,0,0,8,1,3.4,3.4,4.7,8,50,172,157,0.25,0.25,0.5,0.25,0.5,0.14,0.2,0.34,0.14,0.34,23.9,6,44,19,43.2,1.84,0.8,0.14,0.32,21.5,6,0,0,0.08,2.6,2.6,935,1236,75.6,16293,5324,440,521,84.5,325,413,78.7,124,211,58.8,4.7,6.4,1.3,50,99,62,5,172,1236,1096,129,34,14,11,110,13,82,26,46,0,935,11,27,102,4.28,62,29,3,3,3,2,7,0.29,6,0,0,1,0,0,42,30,14,22,6,15,42,35.7,27,37,3,34,21,63,14,0,1473,22,161,637,688,49,1473,44,24,54.5,17,38.6,1070,5969,2489,50,47,18,42,23,1001,157,86,70.2,25,86,16,0,0,0,1.96,47,31,16,0.67,-0.32,36.5,30.3,6.1,0.26,0,25,36,3,110,30,1,0,0,133,12,18,40,"https://fbref.com/en/players/3708e9fa/Aleksandr-Golovin","Aleksandr Golovin","https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918"
"98","Aleksandr Kokorin","Fiorentina","Serie A",33,1991-03-19,"Centre-Forward","RUS","-","right","1.84",8e+05,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/fec5accc/Aleksandr-Kokorin","Aleksandr Kokorin","https://www.transfermarkt.com/aleksandr-kokorin/profil/spieler/89086"
"99","Aleksey Miranchuk","Atalanta","Serie A",28,1995-10-17,"Attacking Midfield","RUS","59","left","1.82",1e+07,2024,27,12,1176,13.1,3,5,8,3,0,0,1,0,5.4,5.4,4.1,9.5,41,75,122,0.23,0.38,0.61,0.23,0.61,0.41,0.31,0.72,0.41,0.72,13.1,3,37,21,56.8,2.83,1.61,0.08,0.14,16.4,0,0,0,0.15,-2.4,-2.4,454,622,73,7677,2316,212,250,84.8,179,216,82.9,44,106,41.5,4.1,4.5,0.9,45,41,29,9,75,622,553,68,11,2,5,83,2,52,31,16,0,454,1,22,81,6.19,56,16,2,4,3,0,10,0.76,6,2,0,2,0,0,12,6,6,4,2,5,13,38.5,8,6,1,5,2,14,5,1,785,4,62,323,407,52,785,49,17,34.7,27,55.1,490,2993,1421,41,35,10,37,15,601,122,44,34.4,12,76,4,15,18,8,1.96,24,10,14,1.07,0.43,23.5,16.1,7.4,0.57,0,12,31,3,83,6,0,0,0,69,7,11,38.9,"https://fbref.com/en/players/a9aa0d1d/Aleksei-Miranchuk","Aleksei Miranchuk","https://www.transfermarkt.com/aleksey-miranchuk/profil/spieler/255450"
"100","Alessandro Bastoni","Inter","Serie A",25,1999-04-13,"Centre-Back","ITA","95","left","1.9",7e+07,2024,28,28,2268,25.2,1,3,4,1,0,0,5,0,1.2,1.2,3.4,4.6,63,142,77,0.04,0.12,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18,25.2,1,15,6,40,0.6,0.24,0.07,0.17,13.3,0,0,0,0.08,-0.2,-0.2,1671,1935,86.4,32047,10473,671,716,93.7,765,834,91.7,211,312,67.6,3.4,3.1,-0.4,22,135,35,14,142,1935,1787,139,58,1,29,76,71,0,0,0,0,1671,9,30,63,2.5,54,1,0,4,3,1,6,0.24,6,0,0,0,0,0,46,33,31,12,3,26,40,65,14,25,11,14,23,69,48,1,2127,209,769,986,388,35,2127,19,10,52.6,8,42.1,1434,7294,4361,63,66,6,12,10,1612,77,81,66.3,28,81,14,0,0,6,2.43,53,16,37,1.47,-0.88,50.4,20.9,29.5,1.17,0,31,31,0,76,33,0,0,0,119,37,29,56.1,"https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni","Alessandro Bastoni","https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853"
"101","Alessandro Berardi","Hellas Verona","Serie A",33,1991-01-16,"Goalkeeper","ITA","22","right","1.85",50000,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ec1f737d/Alessandro-Berardi","Alessandro Berardi","https://www.transfermarkt.com/alessandro-berardi/profil/spieler/127217"
"102","Alessandro Buongiorno","Torino","Serie A",25,1999-06-06,"Centre-Back","ITA","4","left","1.9",3.5e+07,2024,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0,0.11,0.11,0.11,0.06,0,0.06,0.06,0.06,28.1,3,13,6,46.2,0.46,0.21,0.23,0.5,9.5,0,0,0,0.12,1.4,1.4,1012,1187,85.3,17567,5255,395,455,86.8,553,609,90.8,50,87,57.5,0.1,0.4,-0.1,4,28,4,1,62,1187,1162,25,21,1,2,3,3,0,0,0,0,1012,0,7,22,0.78,17,0,0,1,1,3,1,0.04,0,0,0,0,1,0,70,39,43,24,3,24,34,70.6,10,20,12,8,69,139,131,0,1539,153,739,748,64,19,1539,4,0,0,4,100,740,3702,1363,14,10,2,26,4,809,10,87,73.9,29,87,26,0,0,1,1.52,29,22,7,0.25,0.95,30.1,27.4,2.6,0.09,0,69,39,1,3,39,1,1,0,127,78,53,59.5,"https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno","Alessandro Buongiorno","https://www.transfermarkt.com/alessandro-buongiorno/profil/spieler/386446"
"103","Alessandro Cortinovis","Atalanta","Serie A",23,2001-01-25,"Attacking Midfield","ITA","-","right","1.8",4e+05,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bfc359ed/Alessandro-Cortinovis","Alessandro Cortinovis","https://www.transfermarkt.com/alessandro-cortinovis/profil/spieler/421768"
"104","Alessandro Deiola","Cagliari","Serie A",28,1995-08-01,"Central Midfield","ITA","14","right","1.9",1900000,2024,27,19,1608,17.9,1,0,1,1,0,0,7,0,2.5,2.5,0.9,3.4,9,64,21,0.06,0,0.06,0.06,0.06,0.14,0.05,0.19,0.14,0.19,17.9,1,25,6,24,1.4,0.34,0.04,0.17,17.2,2,0,0,0.1,-1.5,-1.5,364,524,69.5,6842,2077,171,216,79.2,142,194,73.2,47,90,52.2,0.9,0.5,-0.9,10,45,7,2,64,524,511,11,4,2,11,15,7,0,0,0,0,364,2,10,28,1.57,23,1,0,3,0,1,0,0,0,0,0,0,0,0,33,19,13,16,4,18,47,38.3,29,16,6,10,9,42,37,0,700,42,175,376,153,24,700,10,5,50,3,30,272,1230,473,9,5,0,10,15,369,21,60,47,19,79,10,8,14,10,1.04,15,29,-14,-0.78,-0.19,20.9,22.5,-1.6,-0.09,0,25,17,0,15,19,0,0,1,87,35,30,53.8,"https://fbref.com/en/players/7f267d66/Alessandro-Deiola","Alessandro Deiola","https://www.transfermarkt.com/alessandro-deiola/profil/spieler/235931"
"105","Alessandro Di Pardo","Cagliari","Serie A",24,1999-07-18,"Right Midfield","ITA","99","right","1.82",9e+05,2024,15,2,359,4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,4,0,3,0,0,0.75,0,0,0,24.1,0,0,0,0.03,-0.1,-0.1,115,175,65.7,1822,700,65,82,79.3,41,57,71.9,6,24,25,0.2,0.2,-0.2,5,5,7,4,11,175,146,29,0,0,1,18,29,0,0,0,0,115,0,7,6,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,1,0,3,0,3,9,2,7,5,9,7,0,214,12,59,84,72,3,214,6,1,16.7,5,83.3,99,480,223,6,2,0,1,4,106,19,24,10.5,2,61,0,13,18,18,0.73,2,10,-8,-2.01,-1.48,3.7,7.4,-3.7,-0.93,0,3,2,1,18,1,0,2,0,26,4,2,66.7,"https://fbref.com/en/players/e0ce7038/Alessandro-Di-Pardo","Alessandro Di Pardo","https://www.transfermarkt.com/alessandro-di-pardo/profil/spieler/457674"
"106","Alessandro Florenzi","Milan","Serie A",33,1991-03-11,"Right-Back","ITA","42","right","1.73",2e+06,2024,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29,106,50,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26,19.2,1,32,10,31.3,1.66,0.52,0.03,0.1,25.4,4,0,0,0.05,-0.7,-0.7,1055,1277,82.6,19865,6858,433,459,94.3,454,519,87.5,144,250,57.6,3.4,3.5,0.6,45,97,25,9,106,1277,1055,218,51,1,20,122,104,63,28,30,0,1055,4,16,85,4.41,47,28,0,7,1,2,7,0.36,2,4,0,1,0,0,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1,1449,62,403,699,354,19,1449,13,1,7.7,11,84.6,816,4084,2195,29,28,1,17,5,916,50,56,50.6,19,79,11,12,19,5,1.84,35,23,12,0.62,-0.18,34.2,26.2,8,0.42,0,11,9,2,122,21,0,0,0,97,7,17,29.2,"https://fbref.com/en/players/e288d4b3/Alessandro-Florenzi","Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365"
"107","Alessandro Sorrentino","Monza","Serie A",22,2002-04-03,"Goalkeeper","ITA","23","right","1.9",8e+05,2024,7,5,548,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,193,76.7,3731,2467,35,35,100,73,75,97.3,40,83,48.2,0,0,0,0,1,0,0,0,193,141,52,10,0,0,0,0,0,0,0,0,148,0,0,1,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,174,203,2,0,0,205,1,1,100,0,0,99,484,301,0,0,0,0,0,102,0,78,16,5,90,5,2,49,31,1,8,16,-8,-1.31,-1.19,8.1,11.6,-3.5,-0.57,0,0,1,0,0,0,0,0,0,4,0,0,0,"https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino","Alessandro Sorrentino","https://www.transfermarkt.com/alessandro-sorrentino/profil/spieler/542588"
"108","Alessandro Vogliacco","Genoa","Serie A",25,1998-09-14,"Centre-Back","ITA","14","right","1.86",2e+06,2024,20,14,1169,13,0,1,1,0,0,0,4,0,0.4,0.4,0.5,0.9,8,49,12,0,0.08,0.08,0,0.08,0.03,0.04,0.07,0.03,0.07,13,0,5,0,0,0.38,0,0,0,13.9,0,0,0,0.08,-0.4,-0.4,494,626,78.9,9349,3512,186,204,91.2,235,272,86.4,59,120,49.2,0.5,0.5,0.5,13,41,12,7,49,626,571,52,17,0,4,12,34,0,0,0,0,494,3,5,23,1.77,19,3,0,0,1,0,3,0.23,2,0,0,0,1,0,23,15,14,8,1,12,15,80,3,16,10,6,30,53,40,1,757,82,311,381,67,9,757,7,3,42.9,3,42.9,377,1611,809,8,9,4,7,3,457,12,58,34.2,14,80,5,6,9,12,1.5,16,17,-1,-0.08,-0.12,13.3,16.2,-3,-0.23,0,13,4,1,12,15,1,0,0,52,25,21,54.3,"https://fbref.com/en/players/6841f107/Alessandro-Vogliacco","Alessandro Vogliacco","https://www.transfermarkt.com/alessandro-vogliacco/profil/spieler/330208"
"109","Alessandro Zanoli","Napoli & Salernitana","Serie A",23,2000-10-03,"Right-Back","ITA","59","right","1.88",5e+06,2024,21,10,973,10.8,0,2,2,0,0,0,4,0,0.2,0.2,1.8,1.9,29,32,48,0,0.2,0.2,0,0.2,0.02,0.17,0.19,0.02,0.19,10.8,0,3,1,33.3,0.29,0.1,0,0,12.7,0,0,0,0.06,-0.2,-0.2,355,474,156.7,5223,1939,202,226,177,116,160,150.5,20,48,139.1,1.8,0.9,0.2,12,22,7,2,32,474,393,81,3,1,4,32,78,0,0,0,0,355,0,18,24,2.34,20,2,0,1,1,0,2,0.2,2,0,0,0,0,0,17,14,10,7,0,7,12,58.3,5,10,2,8,2,19,18,0,575,23,135,257,189,19,575,26,6,25,19,170.8,280,1706,837,29,14,6,10,4,354,48,67,28.4,10,77,3,11,35,16,2.04,9,20,-11,-1.07,0.1,9.5,20.7,-11.4,-0.22,0,8,4,1,32,14,0,0,1,28,7,14,36.8,"https://fbref.com/en/players/3b12b11f/Alessandro-Zanoli","Alessandro Zanoli","https://www.transfermarkt.com/alessandro-zanoli/profil/spieler/397225"
"110","Alessio Cragno","Sassuolo","Serie A",30,1994-06-28,"Goalkeeper","ITA","28","right","1.84",1500000,2024,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100,69,1856,1253,16,16,100,28,28,100,24,55,43.6,0,0,0,0,2,0,0,0,100,68,32,10,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,110,91,110,0,0,0,110,0,0,0,0,0,54,270,193,0,0,0,0,0,49,0,90,7.9,3,90,3,0,0,34,1.33,7,7,0,0,0.91,4,5,-1.1,-0.36,0,0,0,0,0,0,0,0,0,3,1,0,100,"https://fbref.com/en/players/f554e29b/Alessio-Cragno","Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907"
